Date,customerRetentionRate,customerChurnRate,customerLifetimeValue,netPromoterScore,customerSatisfactionScore,activeUsers,conversionRate,customerAcquisitionCost,onboardingCompletionRate,referralRate
2024-01-01,90.5,10.8,2850,52,4.35,9200,14.5,265,78.5,9.2
2024-02-01,91.2,10.2,2920,54,4.38,9650,15.1,258,79.8,9.8
2024-03-01,92.1,9.6,3015,56,4.42,10100,15.8,251,81.2,10.5
2024-04-01,92.8,9.0,3125,58,4.45,10580,16.4,244,82.6,11.1
2024-05-01,93.5,8.4,3240,60,4.49,11050,17.1,237,84.0,11.8
2024-06-01,94.2,7.8,3365,62,4.52,11520,17.7,230,85.4,12.4
2024-07-01,94.9,7.2,3495,64,4.56,12000,18.4,223,86.8,13.1
2024-08-01,95.6,6.6,3630,66,4.59,12480,19.0,216,88.2,13.7
2024-09-01,96.3,6.0,3775,68,4.63,12970,19.7,209,89.6,14.4
2024-10-01,97.0,5.4,3925,70,4.66,13460,20.3,202,91.0,15.0
2024-11-01,97.7,4.8,4085,72,4.70,13950,21.0,195,92.4,15.7
2024-12-01,98.4,4.2,4250,74,4.73,14450,21.6,188,93.8,16.3
