Date,revenueGrowthRate,grossProfitMargin,netProfitMargin,operatingCashFlow,burnRate,runway,ebitda,currentRatio,arTurnover,debtToEquity
2024-01-01,8.5,45.2,12.3,75000,35000,18,45000,1.8,7.2,0.65
2024-02-01,9.1,46.8,13.1,82000,34000,19,48000,1.9,7.5,0.62
2024-03-01,10.2,48.3,14.2,89000,33000,20,52000,2.0,7.8,0.59
2024-04-01,11.8,49.7,15.0,95000,32000,21,55000,2.1,8.1,0.56
2024-05-01,12.5,51.2,15.8,102000,31000,22,59000,2.2,8.4,0.53
2024-06-01,13.3,52.8,16.5,108000,30000,23,63000,2.3,8.7,0.50
2024-07-01,14.1,54.1,17.2,115000,29000,24,67000,2.4,9.0,0.47
2024-08-01,15.0,55.5,18.0,122000,28000,25,71000,2.5,9.3,0.44
2024-09-01,15.8,56.9,18.7,128000,27000,26,75000,2.6,9.6,0.41
2024-10-01,16.5,58.2,19.4,135000,26000,27,79000,2.7,9.9,0.38
2024-11-01,17.2,59.6,20.1,142000,25000,28,83000,2.8,10.2,0.35
2024-12-01,18.0,61.0,20.8,148000,24000,29,87000,2.9,10.5,0.32
