Date,customerAcquisitionCost,returnOnMarketingInvestment,websiteTraffic,conversionRate,socialMediaEngagement,emailOpenRate,clickThroughRate,leadGenerationVolume,marketingQualifiedLeads,campaignROI
2024-01-01,75,220,5200,2.5,1150,22.5,1.8,125,45,175
2024-02-01,82,235,5450,2.7,1200,23.2,1.9,132,48,182
2024-03-01,79,245,5680,2.8,1285,24.1,2.1,140,52,190
2024-04-01,85,260,5920,3.0,1340,25.0,2.3,148,55,198
2024-05-01,88,275,6150,3.2,1420,25.8,2.4,156,59,205
2024-06-01,92,290,6380,3.4,1485,26.5,2.6,165,62,215
2024-07-01,95,305,6620,3.6,1560,27.2,2.7,172,66,225
2024-08-01,98,320,6850,3.8,1625,28.0,2.9,180,70,235
2024-09-01,102,335,7100,4.0,1690,28.7,3.0,188,74,245
2024-10-01,105,350,7340,4.2,1755,29.5,3.2,196,78,255
2024-11-01,108,365,7580,4.4,1820,30.2,3.4,205,82,265
2024-12-01,112,380,7850,4.6,1890,31.0,3.6,215,86,275
