Date,monthlyRecurringRevenue,annualRecurringRevenue,customerChurnRate,revenueChurnRate,customerLifetimeValue,customerAcquisitionCost,cacPaybackPeriod,activeUsers,productUsageRate,netRevenueRetention
2024-01-01,58000,696000,6.8,6.2,5200,1150,11.5,14500,68.5,108.5
2024-02-01,61500,738000,6.4,5.8,5380,1125,11.1,15200,70.2,109.8
2024-03-01,65200,782400,6.0,5.4,5570,1100,10.7,15950,72.1,111.2
2024-04-01,69100,829200,5.6,5.0,5770,1075,10.3,16750,74.0,112.5
2024-05-01,73200,878400,5.2,4.6,5980,1050,9.9,17600,75.9,113.8
2024-06-01,77500,930000,4.8,4.2,6200,1025,9.5,18500,77.8,115.2
2024-07-01,82000,984000,4.4,3.8,6430,1000,9.1,19450,79.7,116.5
2024-08-01,86800,1041600,4.0,3.4,6670,975,8.7,20450,81.6,117.8
2024-09-01,91900,1102800,3.6,3.0,6920,950,8.3,21500,83.5,119.2
2024-10-01,97300,1167600,3.2,2.6,7180,925,7.9,22600,85.4,120.5
2024-11-01,103000,1236000,2.8,2.2,7450,900,7.5,23750,87.3,121.8
2024-12-01,109100,1309200,2.4,1.8,7730,875,7.1,24950,89.2,123.2
