Date,monthlyRecurringRevenue,salesGrowthRate,salesTargetAchievement,leadToCustomerConversionRate,averageDealSize,customerAcquisitionCost,salesCycleLength,leadResponseTime,churnRate,upsellCrosssellRate
2024-01-01,95000,12.5,92.3,18.5,9500,1650,62,5.2,5.8,22.5
2024-02-01,98000,13.2,94.1,19.2,9800,1620,61,4.9,5.6,23.2
2024-03-01,102000,14.1,96.5,20.1,10200,1590,59,4.6,5.3,24.1
2024-04-01,105000,15.2,98.2,21.2,10500,1560,57,4.3,5.0,25.2
2024-05-01,109000,16.0,99.8,22.0,10900,1530,55,4.0,4.7,26.0
2024-06-01,113000,16.8,101.5,22.8,11300,1500,53,3.7,4.4,26.8
2024-07-01,117000,17.5,103.2,23.5,11700,1470,51,3.4,4.1,27.5
2024-08-01,121000,18.2,104.8,24.2,12100,1440,49,3.1,3.8,28.2
2024-09-01,125000,18.9,106.5,24.9,12500,1410,47,2.8,3.5,28.9
2024-10-01,129000,19.5,108.1,25.5,12900,1380,45,2.5,3.2,29.5
2024-11-01,133000,20.2,109.8,26.2,13300,1350,43,2.2,2.9,30.2
2024-12-01,137000,20.8,111.4,26.8,13700,1320,41,1.9,2.6,30.8
